Device Type, Ticks, Data0, Data1
5, 7287, 0, 92
5, 7288, 0, 92
5, 7289, 0, 92
5, 7290, 0, 92
5, 7291, 0, 92
5, 7292, 0, 92
5, 7293, 0, 92
5, 7294, 0, 92
5, 7295, 0, 92
5, 7296, 0, 92
5, 7297, 0, 92
5, 7298, 0, 92
5, 7299, 0, 92
5, 7300, 0, 92
5, 7301, 0, 92
5, 7302, 0, 92
5, 7303, 0, 92
5, 7304, 0, 92
5, 7305, 0, 92
5, 7306, 0, 91
5, 7307, 0, 91
5, 7308, 0, 91
5, 7309, 0, 91
5, 7310, 0, 91
5, 7311, 0, 91
5, 7312, 0, 91
5, 7313, 0, 91
5, 7314, 0, 91
5, 7315, 0, 91
5, 7316, 0, 91
5, 7317, 0, 91
5, 7318, 0, 91
5, 7319, 0, 91
5, 7320, 0, 91
5, 7321, 0, 91
5, 7322, 0, 91
5, 7323, 0, 91
5, 7324, 0, 91
5, 7325, 0, 91
5, 7326, 0, 91
5, 7327, 0, 91
5, 7328, 0, 91
5, 7329, 0, 91
5, 7330, 0, 91
5, 7331, 0, 91
5, 7332, 0, 91
5, 7333, 0, 91
5, 7334, 0, 91
5, 7335, 0, 91
5, 7336, 0, 91
5, 7337, 0, 91
5, 7338, 0, 91
5, 7339, 0, 91
5, 7340, 0, 91
5, 7341, 0, 91
5, 7342, 0, 91
5, 7343, 0, 91
5, 7344, 0, 91
5, 7345, 0, 91
5, 7346, 0, 91
5, 7347, 0, 91
5, 7348, 0, 91
5, 7349, 0, 91
5, 7350, 0, 91
5, 7351, 0, 91
5, 7352, 0, 91
5, 7353, 0, 91
5, 7354, 0, 91
5, 7355, 0, 91
5, 7356, 0, 91
5, 7357, 0, 91
5, 7358, 0, 91
5, 7359, 0, 91
5, 7360, 0, 91
5, 7361, 0, 91
5, 7362, 0, 91
5, 7363, 0, 91
5, 7364, 0, 91
5, 7365, 0, 91
5, 7366, 0, 91
5, 7367, 0, 91
5, 7368, 0, 91
5, 7369, 0, 91
5, 7370, 0, 91
5, 7371, 0, 91
5, 7372, 0, 91
5, 7373, 0, 91
5, 7374, 0, 91
5, 7375, 0, 91
5, 7376, 0, 91
5, 7377, 0, 91
5, 7378, 0, 91
5, 7379, 0, 91
5, 7380, 0, 91
5, 7381, 0, 91
5, 7382, 0, 91
5, 7383, 0, 91
5, 7384, 0, 91
5, 7385, 0, 91
5, 7386, 0, 91
5, 7387, 0, 91
5, 7388, 0, 90
5, 7389, 0, 90
5, 7390, 0, 90
5, 7391, 0, 90
5, 7392, 0, 90
5, 7393, 0, 90
5, 7394, 0, 90
5, 7395, 0, 90
5, 7396, 0, 90
5, 7397, 0, 90
5, 7398, 0, 90
5, 7399, 0, 90
5, 7400, 0, 90
5, 7401, 0, 90
5, 7402, 0, 90
5, 7403, 0, 90
5, 7404, 0, 90
5, 7405, 0, 90
5, 7406, 0, 90
5, 7407, 0, 90
5, 7408, 0, 90
